A.gracile,A.talpoideum,A.maculatum,A.macrodactylum,A.opacum,A.jeffersonianum,A.laterale,A.mabeei,A.texanum,A.annulatum,A.tigrinum,A.mavortium,A.velasci
A.gracile,1,0.001,0.001,0.025,0.002,0.681,0.038,0.001,0.001,0.002,0.133,0.005,0.133
A.talpoideum,0.001,1,0.458,0.002,0.006,0.001,0.002,0.074,0.326,0.369,0.001,0.001,0.001
A.maculatum,0.001,0.458,1,0.002,0.027,0.001,0.017,0.32,0.562,0.582,0.001,0.001,0.001
A.macrodactylum,0.025,0.002,0.002,1,0.112,0.129,0.978,0.088,0.001,0.046,0.027,0.176,0.027
A.opacum,0.002,0.006,0.027,0.112,1,0.033,0.231,0.123,0.006,0.102,0.001,0.02,0.001
A.jeffersonianum,0.681,0.001,0.001,0.129,0.033,1,0.114,0.006,0.001,0.003,0.1,0.02,0.09
A.laterale,0.038,0.002,0.017,0.978,0.231,0.114,1,0.2,0.004,0.123,0.037,0.195,0.028
A.mabeei,0.001,0.074,0.32,0.088,0.123,0.006,0.2,1,0.205,0.92,0.001,0.012,0.001
A.texanum,0.001,0.326,0.562,0.001,0.006,0.001,0.004,0.205,1,0.41,0.001,0.001,0.001
A.annulatum,0.002,0.369,0.582,0.046,0.102,0.003,0.123,0.92,0.41,1,0.001,0.028,0.002
A.tigrinum,0.133,0.001,0.001,0.027,0.001,0.1,0.037,0.001,0.001,0.001,1,0.035,0.352
A.mavortium,0.005,0.001,0.001,0.176,0.02,0.02,0.195,0.012,0.001,0.028,0.035,1,0.055
A.velasci,0.133,0.001,0.001,0.027,0.001,0.09,0.028,0.001,0.001,0.002,0.352,0.055,1
