fossil,class
1,41229-10854,H
2,41229-10996,H
3,41229-25015,H
4,41229-25017,H
5,41229-25024,H
6,41229-25033,H
7,41229-25110,H
8,41229-25112,H
9,41229-25113,H
10,41229-25114,H
11,41229-25133,H
12,41229-25134,H
13,41229-25135,H
14,41229-25141,H
15,41229-25143,H
16,41229-25144,H
17,41229-25146,H
18,41229-25151,H
19,41229-25164,H
20,41229-25167,H
21,41229-25174,H
22,41229-25176,H
23,41229-25177,H
24,41229-25178,H
25,41229-25181,H
26,41229-25182,H
27,41229-25183,H
28,41229-25187,H
29,41229-25193,H
30,41229-25201,H
31,41229-25213,H
32,41229-25215,H
33,41229-25221,H
34,41229-25245,H
35,41229-25262,H
36,41229-25274,H
37,41229-25295,H
38,41229-25296,H
39,41229-25298,H
