fossil,class
1,41229-10854,A.tigrinum
2,41229-10996,A.tigrinum
3,41229-25015,A.mavortium
4,41229-25017,A.mavortium
5,41229-25024,A.velasci
6,41229-25033,A.tigrinum
7,41229-25110,A.mavortium
8,41229-25112,A.velasci
9,41229-25113,A.velasci
10,41229-25114,A.velasci
11,41229-25133,A.velasci
12,41229-25134,A.mavortium
13,41229-25135,A.tigrinum
14,41229-25141,A.mavortium
15,41229-25143,A.mavortium
16,41229-25144,A.velasci
17,41229-25146,A.tigrinum
18,41229-25151,A.mavortium
19,41229-25164,A.mavortium
20,41229-25167,A.tigrinum
21,41229-25174,A.tigrinum
22,41229-25176,A.mavortium
23,41229-25177,A.mavortium
24,41229-25178,A.velasci
25,41229-25181,A.tigrinum
26,41229-25182,A.tigrinum
27,41229-25183,A.mavortium
28,41229-25187,A.mavortium
29,41229-25193,A.tigrinum
30,41229-25201,A.tigrinum
31,41229-25213,A.velasci
32,41229-25215,A.mavortium
33,41229-25221,A.velasci
34,41229-25245,A.mavortium
35,41229-25262,A.tigrinum
36,41229-25274,A.mavortium
37,41229-25295,A.tigrinum
38,41229-25296,A.velasci
39,41229-25298,A.velasci
